lea_name,old_lea_name,NAME,leaid,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_hispanic,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,top10_flag,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
Carroll,CARROLL ISD,Texas,4813020,0,0,0,0,NA,NA,0,0,0.91485,0.91733,0.91613,0.915,NA,NA,0.91298,1,1,0.99949,1,NA,NA,1
Carroll Community,Carroll Comm School District,Iowa,1906330,NA,NA,NA,NA,NA,NA,NA,0,0.93633,0.95319,0.93908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll Consolidated School Corporation,Carroll Consolidated School Corp,Indiana,1801290,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll County,CARROLL CO PBLC SCHS,Virginia,5100690,NA,NA,NA,NA,NA,NA,NA,0,0.92951,NA,0.93428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll County,Carroll County,Georgia,1300840,0.03444,0.01012,0.0084,0,NA,NA,0.00794,0,0.92909,0.923,0.93194,0.95315,NA,NA,0.93442,0.68908,0.71956,0.61675,0.66667,NA,NA,0.63095
Carroll County,Carroll County,Kentucky,2100990,NA,0,0,NA,NA,NA,0,0,0.58201,NA,0.63417,NA,NA,NA,0.61525,1,NA,0.96437,NA,NA,NA,1
Carroll County,Carroll County,Tennessee,4700480,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll County,CARROLL COUNTY SCHOOL DIST,Mississippi,2800930,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carroll County Schools,Carroll County Public Schools,Maryland,2400210,0.14679,0.12202,0.0793,0.02871,NA,0.22222,0.12563,1,0.86953,0.87371,0.8749,0.87734,NA,0.8796,0.86856,0.97357,0.93884,0.98018,0.97608,NA,0.88889,0.97487
Carroll/Jo Daviess/Stephenson Regional Office of Education,Carroll/Jo Daviess/Stephenson ROE,Illinois,1700170,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrollton-Farmers Branch,CARROLLTON-FARMERS BRANCH ISD,Texas,4813050,0,0,0,0,0,NA,0,0,0.87043,0.88106,0.88101,0.87871,0.875,NA,0.88194,0.8601,0.65009,0.83717,0.69419,0.82609,NA,0.76
Carrollton City,Carrollton City,Georgia,1300870,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrollton Community Unit 1,Carrollton CUSD 1,Illinois,1708610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrollton Exempted Village,Carrollton Exempted Village,Ohio,3904527,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.99264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrollton Reorganized-VII,CARROLLTON R-VII,Missouri,2907380,NA,1,NA,NA,NA,NA,NA,0,NA,NA,0.93161,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Carrollton Schools,Carrollton Public Schools,Michigan,2608070,0.21176,0.22456,0.20096,NA,NA,NA,0.25,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0
Carson City,CARSON CITY SCHOOL DISTRICT,Nevada,3200390,NA,0.07237,0.04767,0.02,0.04348,NA,0.0989,1,0.88692,NA,0.89269,0.89487,0.89189,NA,0.89312,0.95233,NA,0.92763,0.98,0.95652,NA,0.9011
Carson City-Crystal Area Schools,Carson City-Crystal Area Schools,Michigan,2608130,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84752,NA,NA,NA,NA
Carsonville-Port Sanilac,Carsonville-Port Sanilac School District,Michigan,2608160,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Carter County,Carter County,Kentucky,2101020,NA,0,0,NA,NA,NA,NA,0,0.9305,NA,0.92542,NA,NA,NA,NA,0.30769,NA,0.43855,NA,NA,NA,NA
Carter County,Carter County,Tennessee,4700510,NA,0,0,NA,NA,NA,0,0,0.85461,NA,0.8469,NA,NA,NA,0.81486,0,NA,0,NA,NA,NA,0
Carter County High School,Carter County H S,Montana,3005610,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carter Elementary,Carter Elem,Montana,3005760,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carteret,Carteret Public School District,New Jersey,3402820,NA,NA,NA,NA,NA,NA,NA,0,0.90169,0.89532,0.90164,0.90788,NA,NA,0.89787,NA,NA,NA,NA,NA,NA,NA
Carteret County Schools,Carteret County Public Schools,North Carolina,3700630,0.58282,0.78414,0.88889,0.77778,NA,NA,0.83951,0,0.9774,0.97448,0.97749,0.97918,NA,NA,0.97636,0.88889,0.58282,0.78414,0.77778,NA,NA,0.83951
Cartersville City,Cartersville City,Georgia,1300900,NA,NA,NA,NA,NA,NA,NA,0,0.96584,0.96478,0.96419,0.96482,NA,NA,0.96665,NA,NA,NA,NA,NA,NA,NA
Carterville Community Unit 5,Carterville CUSD 5,Illinois,1708640,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carthage,CARTHAGE ISD,Texas,4813110,NA,NA,NA,NA,NA,NA,NA,0,0.9907,0.99028,0.99002,NA,NA,NA,0.99374,NA,NA,NA,NA,NA,NA,NA
Carthage 317,Carthage ESD 317,Illinois,1701385,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carthage Central,CARTHAGE CENTRAL SCHOOL DISTRICT,New York,3606630,NA,NA,NA,NA,NA,NA,NA,0,0.90754,0.91653,0.91433,NA,NA,NA,0.91404,NA,NA,NA,NA,NA,NA,NA
Carthage Reorganized-IX,CARTHAGE R-IX,Missouri,2907460,0,0,0,NA,NA,NA,0,0,0.94688,0.93604,0.941,NA,NA,NA,0.94286,1,1,1,NA,NA,NA,1
Cartwright Elementary District,Cartwright Elementary District,Arizona,0401680,NA,NA,NA,NA,NA,NA,NA,0,0.65623,0.65349,0.66479,0.64471,0.65009,NA,0.6748,NA,NA,NA,NA,NA,NA,NA
Caruthers Unified,Caruthers Unified,California,0600067,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.97526,NA,0.98214,1,NA,NA,NA
Caruthersville 18,CARUTHERSVILLE 18,Missouri,2907470,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carver,Carver,Massachusetts,2503360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cary Community Consolidated 26,Cary CCSD 26,Illinois,1708730,NA,NA,NA,NA,NA,NA,NA,0,0.82061,NA,0.82074,NA,NA,NA,0.82482,NA,NA,NA,NA,NA,NA,NA
Casa Grande Elementary District,Casa Grande Elementary District,Arizona,0401710,NA,NA,NA,NA,NA,NA,NA,0,0.8424,0.84952,0.84509,NA,0.85471,NA,0.85227,NA,NA,NA,NA,NA,NA,NA
Casa Grande Union High,Casa Grande Union High School District,Arizona,0401740,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1
Cascade,CASCADE DISTRICT,Idaho,1600630,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cascade,Cascade School District,Washington,5300950,NA,NA,NA,NA,NA,NA,NA,0,0.94274,NA,0.94483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cascade 5,Cascade SD 5,Oregon,4102780,NA,0,0,NA,NA,NA,NA,0,0.85214,NA,0.85786,NA,NA,NA,NA,0.92562,NA,0.93274,NA,NA,NA,NA
Cascade Elementary,Cascade Elem,Montana,3005880,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cascade High School,Cascade H S,Montana,3005910,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cascade Union Elementary,Cascade Union Elementary,California,0607680,NA,NA,NA,NA,NA,NA,NA,0,0.70665,NA,0.78003,0.80196,0.79365,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caseville Schools,Caseville Public Schools,Michigan,2608280,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casey-Westfield C-4,Casey-Westfield CUSD 4C,Illinois,1700002,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casey County,Casey County,Kentucky,2101050,NA,NA,NA,NA,NA,NA,NA,0,0.83574,NA,0.83738,NA,NA,NA,0.84467,NA,NA,NA,NA,NA,NA,NA
Cashion,CASHION,Oklahoma,4006810,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cashmere,CASHMERE SCHOOL DISTRICT,Washington,5300960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cashton,Cashton School District,Wisconsin,5502340,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cass 63,Cass SD 63,Illinois,1708790,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cass City Schools,Cass City Public Schools,Michigan,2608400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cass Lake-Bena Schools,CASS LAKE-BENA PUBLIC SCHOOLS,Minnesota,2708070,NA,1,NA,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0
Cassadaga Valley Central,CASSADAGA VALLEY CENTRAL SCHOOL DISTRICT,New York,3606660,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia County Joint,CASSIA COUNTY JOINT DISTRICT,Idaho,1600660,NA,0,0,NA,NA,NA,NA,0,1,NA,1,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Cassopolis Schools,Cassopolis Public Schools,Michigan,2608430,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0
Cassville,Cassville School District,Wisconsin,5502400,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassville Reorganized-IV,CASSVILLE R-IV,Missouri,2908170,NA,NA,NA,NA,NA,NA,NA,0,0.94882,NA,0.9476,NA,NA,NA,0.95323,NA,NA,NA,NA,NA,NA,NA
Castaic Union,Castaic Union,California,0607740,NA,NA,NA,NA,NA,NA,NA,0,0.92237,NA,0.91921,0.93276,NA,NA,0.91641,NA,NA,NA,NA,NA,NA,NA
Castine Schools,Castine Public Schools,Maine,2304080,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castle Rock,Castle Rock School District,Washington,5300990,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castle Rock Union Elementary,Castle Rock Union Elementary,California,0607770,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castleberry,CASTLEBERRY ISD,Texas,4813170,0,0,0,NA,NA,NA,NA,0,0.84741,0.84403,0.84787,NA,NA,NA,NA,0.9489,0.92308,0.92655,NA,NA,NA,NA
Castleford,CASTLEFORD DISTRICT,Idaho,1600690,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castleton-Hubbardton Usd 42,Castleton-Hubbardton USD #42,Vermont,5000001,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castlewood,Castlewood School District 28-1,South Dakota,4611280,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.87004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caston School Corporation,Caston School Corporation,Indiana,1801410,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castro Valley Unified,Castro Valley Unified,California,0607800,0.05392,0.03052,0.06469,0.0042,NA,NA,0.06507,0,0.88403,0.89751,0.89513,0.89912,NA,NA,0.89345,0.92857,0.93627,0.96009,0.98739,NA,NA,0.92466
Caswell County Schools,Caswell County Schools,North Carolina,3700660,NA,NA,NA,NA,NA,NA,NA,0,0.95116,0.95114,0.9448,NA,NA,NA,0.9493,NA,NA,NA,NA,NA,NA,NA
Caswell Schools,Caswell Public Schools,Maine,2304110,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catahoula Parish,Catahoula Parish,Louisiana,2200420,0.39785,0.15971,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
Catalina Foothills,Catalina Foothills Unified District,Arizona,0401760,NA,NA,NA,NA,NA,NA,NA,0,0.86944,0.87584,0.87392,0.87393,NA,NA,0.87681,NA,NA,NA,NA,NA,NA,NA
Catamount School,Catamount School,North Carolina,3700421,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catasauqua Area,Catasauqua Area SD,Pennsylvania,4205160,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catawba County Schools,Catawba County Schools,North Carolina,3700690,0.14334,0.20808,0.10777,0.2122,NA,NA,0.19149,0,0.9676,0.97384,0.97651,0.97735,NA,NA,0.97644,0.72431,0.72696,0.77763,0.5756,NA,NA,0.71064
Cathedral Home For Children - Administration Office,Cathedral Home for Children - Administration Office,Wyoming,5600009,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cato-Meridian Central,CATO-MERIDIAN CENTRAL SCHOOL DISTRICT,New York,3606690,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catoosa,CATOOSA,Oklahoma,4006870,NA,NA,NA,NA,NA,NA,NA,0,0.94115,NA,0.94395,NA,0.94203,NA,0.95446,NA,NA,NA,NA,NA,NA,NA
Catoosa County,Catoosa County,Georgia,1300930,0,0,0,0,NA,NA,0,0,0.95993,0.96149,0.95992,0.95514,NA,NA,0.95741,1,1,1,1,NA,NA,1
Catskill Central,CATSKILL CENTRAL SCHOOL DISTRICT,New York,3606720,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cattaraugus-Allegany-Erie-Wyoming Boces,CATTARAUGUS-ALLEGANY-ERIE-WYOMING BOCES,New York,3680150,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cattaraugus-Little Valley Central,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,New York,3600024,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavalier 6,CAVALIER 6,North Dakota,3800018,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave City,CAVE CITY SCHOOL DISTRICT,Arkansas,0504050,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave Creek,Cave Creek Unified District,Arizona,0400001,NA,NA,NA,NA,NA,NA,NA,0,0.86369,0.86175,0.85644,0.85506,NA,NA,0.85829,NA,NA,NA,NA,NA,NA,NA
Cave Springs,CAVE SPRINGS,Oklahoma,4006930,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavendish,Cavendish School District,Vermont,5003010,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caverna Independent,Caverna Independent,Kentucky,2101110,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayucos Elementary,Cayucos Elementary,California,0607840,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayuga,CAYUGA ISD,Texas,4813200,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayuga-Onondaga Boces,CAYUGA-ONONDAGA BOCES,New York,3680180,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayuse Prairie Elementary,Cayuse Prairie Elem,Montana,3005990,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cazenovia Central,CAZENOVIA CENTRAL SCHOOL DISTRICT,New York,3606780,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cecil County Schools,Cecil County Public Schools,Maryland,2400240,0.71076,0.31298,0.54924,0.48718,NA,NA,0.54852,0,0.91966,0.90434,0.92488,0.9131,NA,NA,0.91604,1,1,1,1,NA,NA,1
Cedar,Cedar Unified District,Arizona,0401810,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Bluffs Schools,CEDAR BLUFFS PUBLIC SCHOOLS,Nebraska,3104870,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Cliff Local,Cedar Cliff Local,Ohio,3904725,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Falls Community,Cedar Falls Comm School District,Iowa,1906510,0.48936,0.47895,0.46341,0.48276,NA,NA,0.49541,0,0.79975,0.80636,0.80271,0.78455,NA,NA,0.81718,0.46341,0.48936,0.47895,0.48276,NA,NA,0.49541
Cedar Grove-Belgium Area,Cedar Grove-Belgium Area School District,Wisconsin,5502430,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Grove Township,CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,New Jersey,3402850,NA,NA,NA,NA,NA,NA,NA,0,0.88072,NA,0.88347,0.89071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Hill,CEDAR HILL ISD,Texas,4813230,0,0,0,0,NA,NA,0,0,0.84838,0.84013,0.83761,0.83825,NA,NA,0.83887,0.33043,0.42287,0.34831,0.22917,NA,NA,0.375
Cedar Mountain,CEDAR MOUNTAIN SCHOOL DISTRICT,Minnesota,2700110,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Rapids Community,Cedar Rapids Comm School District,Iowa,1906540,0,0,0,0,0,0,0,1,0.91828,0.90955,0.92793,0.93652,0.91013,0.90384,0.91371,0.93805,0.89294,0.94219,0.98095,1,1,0.89761
Cedar Ridge,CEDAR RIDGE SCHOOL DISTRICT,Arkansas,0500070,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.84418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Springs Schools,Cedar Springs Public Schools,Michigan,2608520,NA,0,0,NA,NA,NA,0,0,0.91653,NA,0.91935,NA,NA,NA,0.91469,0.96296,NA,0.94899,NA,NA,NA,0.96226
Cedar Vale,Cedar Vale,Kansas,2004500,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedarburg,Cedarburg School District,Wisconsin,5502460,NA,NA,NA,NA,NA,NA,NA,0,0.91374,NA,0.91243,0.9196,NA,NA,0.91402,NA,NA,NA,NA,NA,NA,NA
Cedarville,CEDARVILLE SCHOOL DISTRICT,Arkansas,0504080,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celeste,CELESTE ISD,Texas,4813260,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celina,CELINA ISD,Texas,4813290,NA,NA,NA,NA,NA,NA,NA,0,0.95899,0.95714,0.95919,NA,NA,NA,0.95952,NA,NA,NA,NA,NA,NA,NA
Celina City,Celina City,Ohio,3910030,NA,NA,NA,NA,NA,NA,NA,0,0.95302,NA,0.95538,NA,NA,0.94929,0.95469,NA,NA,NA,NA,NA,NA,NA
Cement,CEMENT,Oklahoma,4006960,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cent Va Train Ct,CENT VA TRAIN CT,Virginia,5100050,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centennial,CENTENNIAL PUBLIC SCHOOL DISTRICT,Minnesota,2708100,0,0,0,0,NA,NA,0,0,0.919,0.92419,0.9299,0.93289,NA,NA,0.92312,0.77778,0.775,0.93455,0.97436,NA,NA,0.86667
Centennial,Centennial School District No. R-1,Colorado,0806360,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centennial,Centennial SD,Pennsylvania,4205190,NA,NA,NA,NA,NA,NA,NA,0,0.95929,0.9591,0.95382,0.95449,NA,NA,0.95557,NA,NA,NA,NA,NA,NA,NA
Centennial 28j,Centennial SD 28J,Oregon,4102800,0.07059,0.08302,0.09533,0.00797,0.05,0.08333,0.10909,0,0.94592,0.9469,0.94942,0.94857,0.94434,0.94574,0.95006,0.90467,0.92941,0.91698,0.99203,0.95,0.91667,0.89091
Centennial Boces,CENTENNIAL BOCES,Colorado,0899200,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Centennial Schools,CENTENNIAL PUBLIC SCHOOLS,Nebraska,3100099,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Center,CENTER ISD,Texas,4813320,0.11842,0.08273,0.06944,0,NA,NA,NA,0,0.90431,0.90643,0.90403,0.91442,NA,NA,NA,0.93056,0.88158,0.91727,1,NA,NA,NA
Center-Stanton 1,CENTER-STANTON 1,North Dakota,3800052,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Center 58,CENTER 58,Missouri,2908250,0,0,0,NA,NA,NA,0,0,0.9338,0.93517,0.93283,NA,NA,NA,0.936,1,1,1,NA,NA,NA,1
Center Cass 66,Center Cass SD 66,Illinois,1708970,NA,NA,NA,NA,NA,NA,NA,0,0.93776,NA,0.93938,0.93678,NA,NA,0.94438,NA,NA,NA,NA,NA,NA,NA
Center Consolidated,Center Consolidated School District No. 26 Jt. of the count,Colorado,0802850,NA,0.73333,0.92568,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
Center Grove Community School Corporation,Center Grove Community School Corp,Indiana,1801440,NA,NA,NA,NA,NA,NA,NA,0,0.87679,0.87995,0.8856,0.87413,NA,NA,0.88184,NA,NA,NA,NA,NA,NA,NA
Center Joint Unified,Center Joint Unified,California,0607900,0.05618,0.05527,0.06685,0.01316,NA,NA,0.04918,0,0.88745,0.88498,0.8859,0.88574,NA,NA,0.88266,0.93315,0.94382,0.94473,0.98684,NA,NA,0.95082
Center Line Schools,Center Line Public Schools,Michigan,2608580,0.87179,0.76667,0.95455,0.94382,NA,NA,0.78333,0,0.80101,0.79566,0.79992,0.79267,NA,NA,0.8124,0.95455,0.87179,0.76667,0.94382,NA,NA,0.78333
Center Moriches Union Free,CENTER MORICHES UNION FREE SCHOOL DISTRICT,New York,3606840,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Center Point,CENTER POINT ISD,Texas,4813350,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Center Point-Urbana Community,Center Point-Urbana Comm School District,Iowa,1906660,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.93859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerburg Local,Centerburg Local,Ohio,3904782,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerpoint,CENTERPOINT SCHOOL DISTRICT,Arkansas,0506690,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerville,CENTERVILLE ISD,Texas,4813380,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerville,CENTERVILLE ISD,Texas,4813410,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerville,Centerville School District,Washington,5301050,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centerville,Centerville School District 60-1,South Dakota,4611760,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
