NAME,state_white,state_black,state_hispanic,state_asian,state_nhpi,state_twomore,state_aian,avg_exp_year_perc_hispanic,avg_exp_year_perc_black,avg_exp_year_perc_white,avg_exp_year_perc_asian,avg_exp_year_perc_aian,avg_exp_year_perc_nhpi,avg_exp_year_perc_twomore,percent_adq_couns_hispanic,percent_adq_couns_black,percent_adq_couns_white,percent_adq_couns_asian,percent_adq_couns_aian,percent_adq_couns_nhpi,percent_adq_couns_twomore,perc_ap_stem_hispanic,perc_ap_stem_black,perc_ap_stem_white,perc_ap_stem_asian,perc_ap_stem_aian,perc_ap_stem_nhpi,perc_ap_stem_twomore
New Jersey,602493,203391,384991,139334,2900,27017,1748,0.8681949514110864,0.8627182101607324,0.9040902607901009,0.8910412758037356,0.8842457217232523,0.8980645397786746,0.8974820469368193,0.6002847843775427,0.6819976771196283,0.8162057113167203,0.7756266758505326,0.7840909090909091,0.7995337995337995,0.7713733075435203,0.8182707582626215,0.7434378629500581,0.9514048480246198,0.9538018744926324,0.9022727272727272,0.8939393939393939,0.8947775628626693
New Mexico,77269,6397,203162,3807,461,6261,33338,0.8623081177565959,0.8592620470697167,0.8755470887569269,0.886358967051887,0.8721381600117705,0.8157907420820225,0.8754117078820003,0.14405127248681734,0.10995310057321521,0.16884158018972967,0.09462528387585163,0.32103174603174606,0.07377049180327869,0.09602649006622517,0.6952983265229997,0.7733194372068786,0.6865897652874894,0.7834973504920515,0.6120039682539683,0.7459016393442623,0.8026490066225166
New York,1157612,451459,715939,248160,6736,63790,18555,0.8639533469281512,0.8292684507996003,0.9211288160144504,0.8992712331423367,0.8625216198971385,0.8733521628770048,0.9019979729938976,0.6327759731115159,0.6236280362005887,0.7660259659245975,0.6308443912927316,0.6796030480241007,0.6475113122171946,0.6903587595432741,0.5643014063878927,0.49826699309548045,0.741245272720184,0.7928270632689152,0.544568491936913,0.6375565610859728,0.6942774136882643
North Carolina,749524,393639,271318,51709,2148,66113,19036,0.9262779746641197,0.9080547998017402,0.944652482781427,0.9381565552255517,0.9391318047365557,0.9228323025331557,0.9297525610139915,0.2809377822790354,0.2989238403597907,0.24238702918090788,0.25511149105934317,0.2801183844011142,0.218018018018018,0.2592905405405405,0.7301070265239646,0.6852338723994218,0.7855314909915325,0.8561658474032913,0.685933147632312,0.7603603603603604,0.7586711711711712
North Dakota,86462,5513,5527,1771,306,2732,9446,0.8799018024061546,0.8772599581495502,0.890565897178793,0.8801949228583744,0.9018080147252925,0.8624695180767152,0.8833235781788822,0.3952180028129395,0.3333333333333333,0.4729234993516894,0.26631393298059963,0.5271053528810092,0.3448275862068966,0.47890295358649787,0.4739803094233474,0.8023415977961432,0.47742353748760585,0.8377425044091711,0.2321854756222298,0.5747126436781609,0.459915611814346
Ohio,1177465,276993,95834,40660,1373,86515,2056,0.8776357642414294,0.8513203034522819,0.9147423761878052,0.9293714493897549,0.8861411506510253,0.8924567954357422,0.8920368589554877,0.1543413600619321,0.17012710575928966,0.14730533477391128,0.11339083828825057,0.1850079744816587,0.11508951406649616,0.143572098842665,0.5015686753860571,0.3933832025786049,0.49702345931258757,0.6858722050079558,0.46411483253588515,0.5345268542199488,0.5230349881585414
Oklahoma,338439,59633,119634,14096,2481,64766,93800,0.8519262867794336,0.8213724260880667,0.884573646329686,0.8678152857529987,0.8940622336814654,0.8451225547587033,0.8775317510473528,0.1759123839325193,0.2112027158098933,0.18767882404246042,0.09708249496981891,0.2365128431589019,0.1346153846153846,0.172376565423924,0.6405904561069351,0.6702837051406402,0.5723220268674815,0.8511066398390342,0.42003385589166115,0.7371794871794872,0.6420757161364617
Oregon,356701,13025,132045,23084,4184,35074,7534,0.879375298310308,0.9043105688635991,0.8973013126021802,0.9119426085758603,0.8727630727394876,0.8728659048204401,0.898878135279011,0.10954466530178558,0.11695607763023494,0.11903962390866353,0.05708245243128964,0.15261865793780688,0.09248554913294797,0.12642633545390286,0.4935081763288154,0.6493871297242084,0.5046918140437281,0.6055761099365751,0.41612111292962356,0.47398843930635837,0.506715136827224
Pennsylvania,1123087,243926,193882,66869,1439,66467,2587,0.864543298618227,0.8064380017067807,0.926940394471817,0.9086128919591869,0.8831386780500446,0.9117499292495042,0.8887400844961858,0.33850894393533154,0.2983772008438004,0.24470074646404735,0.2792097929936306,0.2846441947565543,0.24070021881838075,0.2460505227810425,0.7664772499899956,0.5890885025300224,0.8341321620740694,0.9071954617834395,0.7790262172284644,0.8949671772428884,0.8043959398611005
Rhode Island,81051,12034,35560,4628,245,5824,1043,0.8402657189378444,0.8390438490447867,0.9231226146218066,0.885129383932093,0.8897708197634129,0.8705573245365863,0.884784170725519,0.5258446433727981,0.6058659217877095,0.7556780161385555,0.6115107913669064,0.6035087719298246,0.75,0.7183734939759037,0.6663778997016074,0.5871508379888268,0.9115922062586105,0.920863309352518,0.7473684210526316,0.6875,0.795933734939759
South Carolina,393782,260315,73507,12303,1045,31609,2538,0.8796071504459497,0.8820821971637582,0.9008791043366502,0.896826118094536,0.9025082365049595,0.8941165016599808,0.8897212675051964,0.16052977107952274,0.23829160131956087,0.17047144685413856,0.1595567867036011,0.1636085626911315,0.14893617021276595,0.17151630355315103,0.7486441742307473,0.5929911849007625,0.7533551243471344,0.8554016620498615,0.617737003058104,0.7588652482269503,0.7762830823219768
South Dakota,101421,4411,8183,2450,152,5455,15145,0.9010662114118162,0.9084320067714383,0.9058973189870139,0.9172539644206336,0.8453893748975932,0.8859204575689174,0.8936778779406918,0.26378155589902114,0.3458961474036851,0.2534869410638589,0.2590120160213618,0.5080896962815782,0.27906976744186046,0.27282157676348545,0.5785677485832046,0.7638190954773869,0.4728907425133324,0.5887850467289719,0.30087993187624185,0.3953488372093023,0.5072614107883817
Tennessee,628951,208009,102383,19762,1091,27176,1644,0.855511357288787,0.7946100353275899,0.9048657189473339,0.8890752902428313,0.8820886992651578,0.8745228948014456,0.8808093513365622,0.11693484776778672,0.17213717085119412,0.08950682836692649,0.06193327630453379,0.07216494845360824,0.075,0.09047089358546533,0.5746963243413787,0.398162890385793,0.5381241637108936,0.7454234388366124,0.5402061855670103,0.678125,0.6724137931034483
Texas,1500681,679176,2818135,234946,8007,122111,20496,0.829729700957499,0.812698342077674,0.8674748412327193,0.8592682538779733,0.8463184500124071,0.8339623988709594,0.8495040192738825,0.17508655071536552,0.15740175866711545,0.12255737779755994,0.085761238500407,0.12128186968838527,0.13850291349170776,0.1167017277649412,0.8584154124767177,0.8605951279030629,0.8027778728843542,0.9484572499270476,0.8185198300283286,0.9134917077543703,0.8506742076766562
Utah,485552,9391,112852,11269,10373,17592,7037,0.801736330675087,0.8125434206159721,0.8095656899800849,0.8161832752410421,0.8228003634858034,0.814003636211576,0.8195182837377822,0.12041409371594625,0.15628718762395874,0.092349872943694,0.1238883777982214,0.28688899040657834,0.0812452543659833,0.1081151832460733,0.8451144206320378,0.7941293137643792,0.7645362444830814,0.8521925789635081,0.44449520328917314,0.8815489749430524,0.8450261780104712
Vermont,75871,1770,1735,1741,58,2993,127,0.9119798981754519,0.9429264326948771,0.9042616639884685,0.9485562743641182,0.8239982894451444,0.915859672988384,0.892439070677657,0.8537549407114624,0.8747628083491461,0.8593378963542394,0.8107142857142857,0.9146341463414634,0.7857142857142857,0.8849431818181818,0.9169960474308301,0.7988614800759013,0.8622247054989058,0.8464285714285714,0.9512195121951219,1,0.8863636363636364
Virginia,631539,288936,202866,90235,2045,71502,3481,0.8783535204049938,0.8714891302688428,0.9049769526024829,0.8919405118116168,0.8892931051333741,0.8970007195340781,0.8939771088209248,0.360261167903655,0.21900802915551507,0.2520485614769776,0.4445485902819436,0.2873030583873957,0.22030981067125646,0.25207905821362997,0.814521775661672,0.8171630317180115,0.8189363586945579,0.8839232153569286,0.82483781278962,0.9242685025817556,0.8764445404471325
Washington,597600,47825,255701,84886,12079,88206,13395,0.8940040938729222,0.8883790573189825,0.914508147598635,0.9020365497964355,0.8994178661223113,0.8975237796621016,0.9097118003629684,0.09642817952375728,0.06269960242455844,0.09206134628584603,0.0353172250222354,0.1807632224949788,0.08621621621621621,0.08549717759444203,0.5971277296170306,0.655608420778205,0.6893021257420711,0.7762748295286096,0.46663691140370456,0.6832432432432433,0.7227529309596179
West Virginia,244750,11637,4818,1809,117,8370,251,0.9030931438053338,0.8888562820630105,0.9080759059819897,0.9114196631251731,0.886178956585201,0.9097952316964474,0.8931623130262432,0.07450076804915515,0.15432098765432098,0.1359552609079569,0.05950413223140496,0.1411764705882353,0.15625,0.11074270557029178,0.9208909370199693,0.7909286097691894,0.7926892511247845,0.9239669421487603,0.788235294117647,0.84375,0.8753315649867374
Wisconsin,599557,78644,103263,34145,666,32426,9610,0.8798251554054897,0.8440032849536365,0.9021586789493928,0.89806821938182,0.9033805569625856,0.8864175731826891,0.8935936341090241,0.16752622530961653,0.15935941191913888,0.15409766300088748,0.12167010981841905,0.30396902226524686,0.13612565445026178,0.16198501872659177,0.7335368206855418,0.5659403167935592,0.7563459153116777,0.8250516472762858,0.5914811229428848,0.7591623036649214,0.7541466024612092
Wyoming,73333,1045,12936,768,136,2475,3464,0.8885647028016437,0.8776060377663496,0.900310725807481,0.8951683618981523,0.859954197381505,0.9001209572521173,0.8905640269813649,0.2440318302387268,0.19281045751633988,0.36427878619925175,0.23193916349809887,0.8073394495412844,0.4117647058823529,0.35108153078202997,0.6604774535809018,0.6633986928104575,0.5517066186319338,0.7452471482889734,0.2804718217562254,0.6078431372549019,0.6672212978369384
